tension,latitud_y_longitud,poder de voltaje
13.2,"-65.0429727333771,-24.4832297320945",MEDIO
13.2,"-65.0425519958393,-24.4820269662879",MEDIO
13.2,"-65.0417471361577,-24.4786204062023",MEDIO
13.2,"-65.0425523162991,-24.482049531981",MEDIO
13.2,"-65.0429726168804,-24.4832593453143",MEDIO
13.2,"-65.0428117072427,-24.4845492866503",MEDIO
13.2,"-65.2796005975617,-24.2282737983123",MEDIO
13.2,"-65.2784804097053,-24.2282608073692",MEDIO
13.2,"-65.2796006483596,-24.2282647706237",MEDIO
13.2,"-65.2465168280527,-24.2594654406296",MEDIO
13.2,"-65.2465727635335,-24.2594265554463",MEDIO
13.2,"-65.2428826590027,-24.2631812630026",MEDIO
13.2,"-65.243565198115,-24.262992577824",MEDIO
13.2,"-65.2423042756391,-24.2614277287373",MEDIO
13.2,"-65.2463512459935,-24.2595447552055",MEDIO
13.2,"-65.0225837591797,-24.4617368704447",MEDIO
13.2,"-64.8424729689945,-24.2276731639948",MEDIO
13.2,"-64.8427014637047,-24.2288201122698",MEDIO
13.2,"-64.8439102332968,-24.2341152157757",MEDIO
13.2,"-64.8439944110134,-24.2347513605078",MEDIO
13.2,"-64.8439734922721,-24.2347534107778",MEDIO
13.2,"-64.8439396426374,-24.2343196511142",MEDIO
13.2,"-64.5686692530708,-23.6832873102155",MEDIO
13.2,"-64.5687295746877,-23.6833745850485",MEDIO
13.2,"-64.5686447478775,-23.6832870791903",MEDIO
13.2,"-65.1878895179665,-24.2596091698696",MEDIO
13.2,"-65.1873236044278,-24.2595008274185",MEDIO
13.2,"-65.5614862840243,-22.3693351618108",MEDIO
13.2,"-65.5648821296942,-22.3770531990506",MEDIO
13.2,"-65.5648825169249,-22.3770848063169",MEDIO
13.2,"-65.5614868826044,-22.3692990420096",MEDIO
13.2,"-65.5717531031098,-22.4121608775145",MEDIO
13.2,"-65.5702550006734,-22.4055275955985",MEDIO
13.2,"-65.5702784659027,-22.4055188797869",MEDIO
13.2,"-65.5704122133491,-22.4101611326349",MEDIO
13.2,"-65.5701932836842,-22.4055429618277",MEDIO
13.2,"-65.5677591295997,-22.3893489216534",MEDIO
13.2,"-65.5699794589632,-22.3990354380564",MEDIO
13.2,"-65.5698421482363,-22.3952265603347",MEDIO
13.2,"-65.5668432957498,-22.385946147892",MEDIO
13.2,"-65.5677587262019,-22.3893298837181",MEDIO
13.2,"-65.5659545690791,-22.381826321359",MEDIO
13.2,"-65.5668365824113,-22.3859190388907",MEDIO
13.2,"-65.5653479199257,-22.3820307917714",MEDIO
13.2,"-64.9920877674745,-24.5126981050587",MEDIO
13.2,"-64.9920905859152,-24.5127301671054",MEDIO
13.2,"-65.6774540566236,-22.3606415249842",MEDIO
13.2,"-65.6774540774165,-22.3606324945735",MEDIO
13.2,"-65.6774540982094,-22.3606234641628",MEDIO
13.2,"-65.6653300027055,-22.3531616563092",MEDIO
13.2,"-65.4971759394335,-23.7465995181758",MEDIO
13.2,"-65.2310501503407,-24.2685533531794",MEDIO
13.2,"-65.2310502046638,-24.2685443256385",MEDIO
13.2,"-65.2302558992471,-24.2665092818568",MEDIO
13.2,"-65.2302559536211,-24.2665002543152",MEDIO
13.2,"-64.3257429691121,-23.9945474407332",MEDIO
13.2,"-64.3255303467554,-23.9945204413978",MEDIO
33.0,"-64.3290752877609,-23.9976839988096",ALTO
33.0,"-64.3233734499878,-23.9918196399176",ALTO
33.0,"-64.321386565246,-23.9847558835626",ALTO
13.2,"-64.3249266649573,-23.9944764826924",MEDIO
13.2,"-64.325713574478,-23.9945423097353",MEDIO
13.2,"-64.3249541076951,-23.9944770361481",MEDIO
13.2,"-64.325684182216,-23.9945417035337",MEDIO
13.2,"-65.2952502283434,-24.1907871459712",MEDIO
13.2,"-65.2948801658628,-24.1935397040444",MEDIO
13.2,"-65.2947113888042,-24.1929369461125",MEDIO
13.2,"-65.168146603091,-24.4431225978262",MEDIO
13.2,"-65.1681465042262,-24.4431456255832",MEDIO
13.2,"-65.1680501037813,-24.4434629090404",MEDIO
13.2,"-65.1680499783632,-24.4434820166382",MEDIO
13.2,"-65.1680606758945,-24.4440782540379",MEDIO
13.2,"-65.1680538894354,-24.4435221655564",MEDIO
13.2,"-65.1674264909859,-24.4573594169335",MEDIO
13.2,"-65.958551791388,-22.4653645984135",MEDIO
13.2,"-65.9584964717928,-22.4581169762729",MEDIO
13.2,"-65.9582232822032,-22.4627282186715",MEDIO
13.2,"-65.9594845606666,-22.4776502839812",MEDIO
13.2,"-65.9724854155307,-22.4759201541169",MEDIO
13.2,"-65.972619090913,-22.4762289689211",MEDIO
13.2,"-65.9724792982486,-22.4758963539127",MEDIO
13.2,"-65.9936083925375,-22.4737852446393",MEDIO
13.2,"-65.9769305483607,-22.475366770344",MEDIO
13.2,"-65.9769660748264,-22.4753624394056",MEDIO
13.2,"-66.0303611343271,-22.4485095253046",MEDIO
13.2,"-66.0319412625635,-22.455619838108",MEDIO
13.2,"-66.0303611303955,-22.4484914643943",MEDIO
13.2,"-66.051531455594,-22.4541894687881",MEDIO
13.2,"-66.0515291280878,-22.4541514794915",MEDIO
13.2,"-66.0671383344898,-22.4538563059352",MEDIO
13.2,"-66.0607295422368,-22.4539298036898",MEDIO
13.2,"-66.0571266311825,-22.4541420190367",MEDIO
13.2,"-66.0598008899307,-22.454025589382",MEDIO
13.2,"-66.0715987321815,-22.4631175827648",MEDIO
13.2,"-66.059801366014,-22.4540030130887",MEDIO
13.2,"-66.0605513497666,-22.4540741591554",MEDIO
13.2,"-66.0506899527082,-22.4354885363141",MEDIO
13.2,"-66.0506894588073,-22.4354659602979",MEDIO
13.2,"-66.0501411573604,-22.4408271736866",MEDIO
13.2,"-66.0501411654734,-22.4408497498404",MEDIO
