tension,geojson
13.2,"-65.2051865213393,-24.2679432537983"
13.2,"-65.2348093126862,-24.2634290635144"
13.2,"-65.2348086574104,-24.2634562750721"
13.2,"-65.2344817001946,-24.262448518934"
13.2,"-65.2356647451621,-24.2621156719019"
13.2,"-65.234492598791,-24.2624811014385"
13.2,"-65.2665260123628,-24.2492321131453"
13.2,"-65.269213492403,-24.2489778132883"
13.2,"-65.2705330706135,-24.2488296028613"
13.2,"-65.2692133282955,-24.2489539448644"
13.2,"-65.2676968111576,-24.249099487027"
13.2,"-65.2675601976646,-24.2480062447448"
13.2,"-65.267560249359,-24.2479972171036"
13.2,"-65.2461957457971,-24.3062770388233"
13.2,"-65.2461957991437,-24.3062680112953"
13.2,"-66.3565752882503,-22.556926048104"
13.2,"-66.3569702022611,-22.5571136698282"
13.2,"-66.3574453079107,-22.5573355236756"
13.2,"-66.3565751952808,-22.5569152010376"
13.2,"-66.3559943768444,-22.5555886018375"
13.2,"-66.0561300292179,-22.454185194007"
13.2,"-66.0334517004525,-22.4556252159605"
13.2,"-65.9950920414559,-22.4736673911246"
13.2,"-66.0328445670698,-22.4556234480382"
13.2,"-64.4962341641438,-23.5738938733482"
33,"-64.4959958291685,-23.5739231252926"
33,"-64.495964438976,-23.5739273304797"
33,"-64.4965183247564,-23.5738831302452"
13.2,"-64.4965181686642,-23.573896941947"
13.2,"-64.4997880499515,-23.5741578963063"
13.2,"-64.496518579826,-23.5738605605873"
13.2,"-64.5057957972294,-23.5801836150544"
13.2,"-64.4999058834967,-23.5743059243712"
13.2,"-64.4831289951671,-23.5708684655979"
13.2,"-64.4891515106713,-23.5741204469919"
13.2,"-64.4918146736127,-23.5742885049134"
7.6,"-64.4959496979029,-23.573931699517"
7.6,"-64.7964394474827,-23.9622827371038"
13.2,"-64.7121640562487,-24.2736843125922"
13.2,"-64.7171810868045,-24.2733899752566"
13.2,"-64.723239436562,-24.2736563600172"
13.2,"-64.7126330135685,-24.2732977889024"
13.2,"-64.7205802525582,-24.2732593878888"
