tension,geojson
13.2,"-65.2789678401834,-24.2795040803767"
13.2,"-65.2789653608507,-24.2795577116888"
13.2,"-65.2789653608507,-24.2795577116888"
13.2,"-64.9343155237632,-24.5543734819449"
13.2,"-64.9343155237632,-24.5543734819449"
13.2,"-64.9435371692314,-24.5528188107217"
13.2,"-64.9437527965671,-24.5527952436411"
13.2,"-64.9440526506702,-24.5529777410012"
13.2,"-65.1337812797672,-23.1370902756822"
13.2,"-65.1062166743894,-23.0964099754122"
13.2,"-65.1062160655657,-23.0963828949016"
13.2,"-65.1062166743894,-23.0964099754122"
13.2,"-65.110112328458,-23.1000890749026"
13.2,"-65.1379945036733,-23.1498506432957"
13.2,"-65.1503100142239,-23.1661736069768"
13.2,"-65.1331481332076,-23.1416492342691"
13.2,"-65.1331481332076,-23.1416492342691"
13.2,"-65.1337812797672,-23.1370902756822"
13.2,"-65.1331499468403,-23.1416247349036"
13.2,"-65.1341819470384,-23.1319425371525"
13.2,"-65.1341795781791,-23.1319584905045"
13.2,"-65.1341819470384,-23.1319425371525"
13.2,"-65.1341283716303,-23.1288149750778"
13.2,"-65.1341315039827,-23.1288373604225"
13.2,"-65.1346558632278,-23.1226211691267"
13.2,"-65.3339957917458,-24.3684344321984"
13.2,"-65.3339960161219,-24.368441381773"
13.2,"-65.3022935224927,-24.1928359593052"
13.2,"-65.3023387556309,-24.1921212584464"
13.2,"-65.3022935224927,-24.1928359593052"
13.2,"-65.3022696228396,-24.1934359031919"
13.2,"-65.3022928324276,-24.1921208055657"
13.2,"-65.3022928324276,-24.1921208055657"
13.2,"-65.3022935224927,-24.1928359593052"
13.2,"-65.4071150494595,-24.2892196330251"
13.2,"-65.4072148374791,-24.2900582132118"
13.2,"-65.4072148793993,-24.2900491853649"
13.2,"-65.4067603376532,-24.2868515892183"
13.2,"-65.4065217494475,-24.2869658001626"
13.2,"-65.4041799917892,-24.2878595527461"
13.2,"-65.4064747422621,-24.286987114582"
13.2,"-65.4010200410765,-24.2855145394582"
13.2,"-65.4010200410765,-24.2855145394582"
13.2,"-65.2379373922529,-24.2724306055296"
13.2,"-65.2379374460991,-24.2724215779787"
13.2,"-65.2328406935144,-24.2694721924567"
13.2,"-65.2328407477133,-24.269463164913"
13.2,"-65.2328407477133,-24.269463164913"
13.2,"-65.2331357860847,-24.2703931185681"
13.2,"-65.2331358402651,-24.2703840910249"
13.2,"-65.2331358402651,-24.2703840910249"
13.2,"-65.2325701123944,-24.268613854785"
13.2,"-65.2377645899767,-24.2663646552961"
13.2,"-65.2379887551844,-24.2670497607893"
13.2,"-65.2379887551844,-24.2670497607893"
13.2,"-65.4657178292037,-23.8526232269999"
13.2,"-65.4657185630999,-23.8525909424546"
13.2,"-65.4658012801575,-23.8531308631192"
13.2,"-65.4659765443258,-23.8549390296097"
13.2,"-65.4658512166886,-23.8532300315837"
13.2,"-65.4658904500293,-23.8532372358011"
13.2,"-65.4658880646129,-23.8531310541663"
13.2,"-65.4658880646129,-23.8531310541663"
13.2,"-65.4658805543863,-23.853235697542"
13.2,"-65.4657178292037,-23.8526232269998"
13.2,"-66.3565753114608,-22.5569350782632"
13.2,"-66.3565752882503,-22.556926048104"
13.2,"-66.360507922879,-22.5615027582229"
13.2,"-64.9435673928114,-24.5539312711464"
13.2,"-64.9435674684352,-24.5539222446704"
13.2,"-65.2506341903003,-24.3599327732727"
13.2,"-65.2495203116127,-24.3560221322478"
13.2,"-64.8042002642304,-23.8349535848383"
13.2,"-64.8082847373262,-23.8448083890168"
13.2,"-64.8082847373262,-23.8448083890168"
13.2,"-64.8048873509073,-23.8364450180933"
13.2,"-65.3108886211615,-24.2033617258055"
13.2,"-65.3094902267115,-24.2033528263146"
13.2,"-65.3094901294435,-24.2033708818675"
13.2,"-65.3073665601753,-24.2039992366814"
13.2,"-65.3073665601753,-24.2039992366814"
13.2,"-65.3095949490531,-24.2034521512209"
13.2,"-65.3095949490531,-24.2034521512209"
13.2,"-65.3084267458916,-24.2036697644745"
13.2,"-65.3836304356738,-23.5885911606434"
13.2,"-65.3890831830358,-23.5861173099382"
13.2,"-65.3086804425299,-24.2011905763798"
33,"-65.2973628938382,-24.209511605158"
13.2,"-65.2731187937715,-24.2997731327768"
13.2,"-65.2749535928174,-24.3016090791388"
13.2,"-65.2749535928174,-24.3016090791388"
13.2,"-65.2733386872413,-24.3000138613245"
13.2,"-65.2733386872413,-24.3000138613245"
13.2,"-65.3488546441517,-24.2290649268676"
13.2,"-65.3488546900682,-24.2290558990486"
13.2,"-65.3937452828797,-23.5780195807674"
13.2,"-64.8597372284739,-24.2322396506396"
13.2,"-64.8597370626482,-24.2322643537442"
13.2,"-64.8573023216279,-24.2325749906366"
13.2,"-64.8597370626482,-24.2322643537442"
13.2,"-64.8573023216279,-24.2325749906366"
13.2,"-64.856123292611,-24.2326991405086"
13.2,"-65.1816545087283,-23.0942255282145"
13.2,"-65.1828366461678,-23.0931051068302"
13.2,"-65.1815184265645,-23.09404538551"
13.2,"-66.3967231045999,-22.6261764817442"
13.2,"-66.3851417719228,-22.6143605416961"
13.2,"-66.3942853563779,-22.6221421634451"
13.2,"-64.8618600514896,-24.2321306361662"
13.2,"-64.8618600514896,-24.2321306361661"
13.2,"-64.8618600514896,-24.2321306361662"
13.2,"-64.8613086569714,-24.2320819335273"
13.2,"-65.2679402120575,-24.1827544522607"
13.2,"-65.5661712704959,-22.1265926507121"
13.2,"-65.5343898036205,-22.1297340357081"
13.2,"-65.5661712704959,-22.1265926507121"
13.2,"-65.5215980615884,-22.1317081661026"
13.2,"-65.4760413703599,-22.1393033155226"
13.2,"-65.4755290803683,-22.1390553601967"
13.2,"-65.4754325562501,-22.1389924329658"
13.2,"-65.4754025192405,-22.1389757209343"
13.2,"-65.5732756216071,-22.1250791155723"
13.2,"-65.5725620058386,-22.1260374712072"
13.2,"-65.5698239189772,-22.127138860696"
13.2,"-65.4814342776516,-22.1417751733185"
13.2,"-65.4835135513243,-22.1404984253463"
13.2,"-65.5680132805518,-22.126890961034"
13.2,"-65.5679928060534,-22.1266409230069"
13.2,"-65.4856789275856,-22.1389800681211"
13.2,"-65.4882425504763,-22.137008733158"
13.2,"-65.4985612311768,-22.1354107366448"
13.2,"-65.5086722017215,-22.1337660137276"
13.2,"-65.5188431794201,-22.132169336325"
13.2,"-65.4679267606442,-22.1353297961454"
13.2,"-65.4640946383818,-22.1341915005837"
13.2,"-65.4610744547985,-22.1334656357283"
13.2,"-65.4494755553868,-22.1394805406703"
13.2,"-65.4600322109776,-22.1336816426646"
13.2,"-65.3721776954907,-22.1594114945289"
13.2,"-65.3662618695889,-22.1122273164288"
13.2,"-65.5854292266092,-22.1136064343037"
13.2,"-65.4610414067117,-22.1334915623522"
13.2,"-65.3663078537666,-22.1120942665889"
13.2,"-65.3721778156969,-22.1593844038291"
13.2,"-65.3662687542627,-22.1122047670606"
13.2,"-65.4610414067117,-22.1334915623522"
